Player,Season,Jersey_Number,Age,Height,Position,Nationality,Player_Image,Profile_URL,Current_Club,Current_Club_URL,Current_Club_Logo,Current_Club_Country,Market_Value
Abdelaziz Knani,2021/2022,,23,1.86m,Centre-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/abdelaziz-knani/profil/spieler/1071324,Olympic Azzawiya SC,https://www.transfermarkt.com/al-olympique-sc-zawiya/startseite/verein/26246,https://tmssl.akamaized.net//images/wappen/small/26246.png?lm=1734761198,Libya,
Abdelkader Bedrane,2021/2022,30,33,1.85m,Centre-Back,Algeria,https://img.a.transfermarkt.technology/portrait/header/376649-1680214671.JPG?lm=1,https://www.transfermarkt.com/abdelkader-bedrane/profil/spieler/376649,Damac FC,https://www.transfermarkt.com/damac-fc/startseite/verein/50532,https://tmssl.akamaized.net//images/wappen/small/50532.png?lm=1756255283,Saudi Arabia,€900k
Abdelmajid Haouachi,2018/2019,,26,,Left-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/abdelmajid-haouachi/profil/spieler/634700,AMS Megrine,https://www.transfermarkt.com/ams-megrine/startseite/verein/39610,https://tmssl.akamaized.net//images/wappen/small/39610.png?lm=1468102362,,
Abdelraouf Benguit,2020/2021,18,29,1.74m,Central Midfield,Algeria,https://img.a.transfermarkt.technology/portrait/header/345810-1493924005.png?lm=1,https://www.transfermarkt.com/abdelraouf-benguit/profil/spieler/345810,CR Belouizdad,https://www.transfermarkt.com/cr-belouizdad/startseite/verein/13365,https://tmssl.akamaized.net//images/wappen/small/13365.png?lm=1695752455,Algeria,€1.20m
Abderrahmane Meziane,2020/2021,17,31,1.68m,Left Winger,Algeria,https://img.a.transfermarkt.technology/portrait/header/321198-1755272078.jpg?lm=1,https://www.transfermarkt.com/abderrahmane-meziane/profil/spieler/321198,CR Belouizdad,https://www.transfermarkt.com/cr-belouizdad/startseite/verein/13365,https://tmssl.akamaized.net//images/wappen/small/13365.png?lm=1695752455,Algeria,€700k
Abderrazak Ben Ammar,2021/2022,,23,1.83m,Right Winger,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/abderrazak-ben-ammar/profil/spieler/1023355,Without Club,,,,
Abdoulaye Sissoko,2015/2016,,33,1.76m,Right Winger,Mali,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/abdoulaye-sissoko/profil/spieler/174709,Djoliba AC,https://www.transfermarkt.com/djoliba-ac-bamako/startseite/verein/1955,https://tmssl.akamaized.net//images/wappen/small/1955.png?lm=1724764190,,€75k
Abdramane Konaté,2025/2026,21,19,1.68m,Attacking Midfield,Cote d'Ivoire,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/abdramane-konate/profil/spieler/1099653,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€850k
Aboubacar Diakité,2025/2026,29,18,1.80m,Centre-Forward,Mali,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/aboubacar-diakite/profil/spieler/1346971,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€75k
Achref Jabri,2025/2026,19,23,1.80m,Centre-Forward,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/achref-jabri/profil/spieler/1180073,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€500k
Adam Rejaibi,2018/2019,7,31,1.75m,Left Winger,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/adam-rejaibi/profil/spieler/208581,Without Club,,,,€400k
