Player,Season,Jersey_Number,Age,Height,Position,Nationality,Player_Image,Profile_URL,Current_Club,Current_Club_URL,Current_Club_Logo,Current_Club_Country,Market_Value
Abdramane Konaté,2025/2026,21,19,1.68m,Attacking Midfield,Cote d'Ivoire,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/abdramane-konate/profil/spieler/1099653,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€850k
Aboubacar Diakité,2025/2026,29,18,1.80m,Centre-Forward,Mali,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/aboubacar-diakite/profil/spieler/1346971,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€75k
Achref Jabri,2025/2026,19,23,1.80m,Centre-Forward,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/achref-jabri/profil/spieler/1180073,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€500k
Ahmed Bouassida,2025/2026,33,21,1.92m,Centre-Forward,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/ahmed-bouassida/profil/spieler/1161133,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€275k
Amanallah Memmiche,2025/2026,1,21,1.91m,Goalkeeper,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/amanallah-memmiche/profil/spieler/1063397,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€800k
Amanallah Mjahed,2025/2026,,22,,Left-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/amanallah-mjahed/profil/spieler/1008462,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€350k
Aziz Abid,2023/2024,21,22,1.78m,Left Winger,Tunisia,https://img.a.transfermarkt.technology/portrait/header/1008460-1674215415.png?lm=1,https://www.transfermarkt.com/aziz-abid/profil/spieler/1008460,US Monastir,https://www.transfermarkt.com/us-monastir/startseite/verein/9890,https://tmssl.akamaized.net//images/wappen/small/9890.png?lm=1563116766,Tunisia,€150k
Aziz Fellah,2025/2026,,23,1.75m,Attacking Midfield,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/aziz-fellah/profil/spieler/797780,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€50k
Aziz Koudhai,2025/2026,,21,1.89m,Centre-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/aziz-koudhai/profil/spieler/1359369,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€25k
Bechir Ben Said,2025/2026,32,32,1.94m,Goalkeeper,Tunisia,https://img.a.transfermarkt.technology/portrait/header/348144-1632991446.png?lm=1,https://www.transfermarkt.com/bechir-ben-said/profil/spieler/348144,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€650k
Cedrik Gbo,2021/2022,,23,1.82m,Defensive Midfield,Cote d'Ivoire,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/cedrik-gbo/profil/spieler/841501,Etoile Sportive du Sahel,https://www.transfermarkt.com/etoile-sportive-du-sahel/startseite/verein/250,https://tmssl.akamaized.net//images/wappen/small/250.png?lm=1584825425,Tunisia,€250k
Chiheb Jebali,2025/2026,31,29,1.76m,Attacking Midfield,Tunisia,https://img.a.transfermarkt.technology/portrait/header/295409-1641374666.png?lm=1,https://www.transfermarkt.com/chiheb-jebali/profil/spieler/295409,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€1.00m
Elyas Bouzaiene,2025/2026,25,28,1.80m,Right-Back,Sweden,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/elyas-bouzaiene/profil/spieler/369308,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€300k
Fakhreddine Ben Youssef,2017/2018,,34,1.89m,Centre-Forward,Tunisia,https://img.a.transfermarkt.technology/portrait/header/218058-1528724201.jpg?lm=1,https://www.transfermarkt.com/fakhreddine-ben-youssef/profil/spieler/218058,US Monastir,https://www.transfermarkt.com/us-monastir/startseite/verein/9890,https://tmssl.akamaized.net//images/wappen/small/9890.png?lm=1563116766,Tunisia,€1.00m
Farouk Mimouni,2023/2024,33,24,1.69m,Left Winger,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/farouk-mimouni/profil/spieler/782597,Union Sportive de Ben Guerdane,https://www.transfermarkt.com/union-sportive-de-ben-guerdane/startseite/verein/30507,https://tmssl.akamaized.net//images/wappen/small/30507.png?lm=1437974422,Tunisia,€100k
Fedi Ben Choug,2021/2022,24,30,1.89m,Attacking Midfield,Tunisia,https://img.a.transfermarkt.technology/portrait/header/415482-1711909649.png?lm=1,https://www.transfermarkt.com/fedi-ben-choug/profil/spieler/415482,Etoile Sportive du Sahel,https://www.transfermarkt.com/etoile-sportive-du-sahel/startseite/verein/250,https://tmssl.akamaized.net//images/wappen/small/250.png?lm=1584825425,Tunisia,€300k
Florian Danho,2025/2026,22,25,1.88m,Centre-Forward,France,https://img.a.transfermarkt.technology/portrait/header/819938-1735101988.png?lm=1,https://www.transfermarkt.com/florian-danho/profil/spieler/819938,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€550k
Ghassen Mahersi,2021/2022,,24,,Left-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/ghassen-mahersi/profil/spieler/1008452,ES Zarzis,https://www.transfermarkt.com/es-zarzis/startseite/verein/2205,https://tmssl.akamaized.net//images/wappen/small/2205.png?lm=1418329546,Tunisia,€25k
Hamza Ben Cherifia,2015/2016,,29,1.81m,Goalkeeper,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/hamza-ben-cherifia/profil/spieler/295380,Etoile Sportive Metlaoui,https://www.transfermarkt.com/etoile-sportive-metlaoui/startseite/verein/39801,https://tmssl.akamaized.net//images/wappen/small/39801.png?lm=1418329825,Tunisia,
Hamza Ghanmi,2023/2024,16,27,1.93m,Goalkeeper,Tunisia,https://img.a.transfermarkt.technology/portrait/header/577882-1619704434.jpeg?lm=1,https://www.transfermarkt.com/hamza-ghanmi/profil/spieler/577882,ES Zarzis,https://www.transfermarkt.com/es-zarzis/startseite/verein/2205,https://tmssl.akamaized.net//images/wappen/small/2205.png?lm=1418329546,Tunisia,€175k
Hamza Jelassi,2025/2026,6,34,1.89m,Centre-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/244044-1632991423.png?lm=1,https://www.transfermarkt.com/hamza-jelassi/profil/spieler/244044,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€400k
Haythem Dhaou,2025/2026,17,20,1.63m,Left Winger,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/haythem-dhaou/profil/spieler/1402922,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€25k
Houssem Dagdoug,2022/2023,30,27,1.91m,Centre-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/487195-1697736418.jpg?lm=1,https://www.transfermarkt.com/houssem-dagdoug/profil/spieler/487195,Etoile Sportive du Sahel,https://www.transfermarkt.com/etoile-sportive-du-sahel/startseite/verein/250,https://tmssl.akamaized.net//images/wappen/small/250.png?lm=1584825425,Tunisia,€300k
Houssem Tka,2025/2026,8,25,1.75m,Central Midfield,Tunisia,https://img.a.transfermarkt.technology/portrait/header/581156-1624211296.jpg?lm=1,https://www.transfermarkt.com/houssem-tka/profil/spieler/581156,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€1.20m
Ibrahima Keita,2025/2026,3,23,1.81m,Right-Back,Mauritania,https://img.a.transfermarkt.technology/portrait/header/995279-1706647545.jpg?lm=1,https://www.transfermarkt.com/ibrahima-keita/profil/spieler/995279,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€150k
Idriss Mhirsi,2015/2016,8,31,1.77m,Attacking Midfield,Tunisia,https://img.a.transfermarkt.technology/portrait/header/171755-1632991548.png?lm=1,https://www.transfermarkt.com/idriss-mhirsi/profil/spieler/171755,Union Sportive de Ben Guerdane,https://www.transfermarkt.com/union-sportive-de-ben-guerdane/startseite/verein/30507,https://tmssl.akamaized.net//images/wappen/small/30507.png?lm=1437974422,Tunisia,€650k
Jack Diarra,2024/2025,,19,1.74m,Left Winger,Burkina Faso,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/jack-diarra/profil/spieler/1133779,AS Soliman,https://www.transfermarkt.com/as-soliman/startseite/verein/52128,https://tmssl.akamaized.net//images/wappen/small/52128.png?lm=1468792418,Tunisia,
Kebba Sowe,2024/2025,,20,1.90m,Centre-Forward,The Gambia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/kebba-sowe/profil/spieler/669379,AS Soliman,https://www.transfermarkt.com/as-soliman/startseite/verein/52128,https://tmssl.akamaized.net//images/wappen/small/52128.png?lm=1468792418,Tunisia,€200k
Khalil Guenichi,2025/2026,27,22,1.88m,Defensive Midfield,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/khalil-guenichi/profil/spieler/1023354,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€500k
Khemais Maaouani,2018/2019,,31,1.83m,Defensive Midfield,Tunisia,https://img.a.transfermarkt.technology/portrait/header/474759-1693304009.jpg?lm=1,https://www.transfermarkt.com/khemais-maaouani/profil/spieler/474759,Union Sportive de Ben Guerdane,https://www.transfermarkt.com/union-sportive-de-ben-guerdane/startseite/verein/30507,https://tmssl.akamaized.net//images/wappen/small/30507.png?lm=1437974422,Tunisia,€175k
