Player,Season,Jersey_Number,Age,Height,Position,Nationality,Player_Image,Profile_URL,Current_Club,Current_Club_URL,Current_Club_Logo,Current_Club_Country,Market_Value
Moez Ben Cherifia,2023/2024,12,33,,Goalkeeper,,,https://www.transfermarkt.com/moez-ben-cherifia/profil/spieler/143581,AS Soliman,,https://tmssl.akamaized.net//images/wappen/verysmall/52128.png?lm=1468792418,,€500k
Ali Jemal,2018/2019,23,23,,Goalkeeper,,,https://www.transfermarkt.com/ali-jemal/profil/spieler/221355,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€300k
Seifeddine Akremi,2014/2015,,25,,Left-Back,,,https://www.transfermarkt.com/seifeddine-akremi/profil/spieler/122342,Al-Nairyah Club,,https://tmssl.akamaized.net//images/wappen/verysmall/92023.png?lm=1674494550,,€150k
Ali Abdi,2015/2016,2,22,,Left-Back,,,https://www.transfermarkt.com/ali-abdi/profil/spieler/211474,OGC Nice,,https://tmssl.akamaized.net//images/wappen/verysmall/417.png?lm=1408779490,,€175k
Ahmed Brahim Naili,2013/2014,,20,,Left-Back,,,https://www.transfermarkt.com/ahmed-brahim-naili/profil/spieler/272665,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€25k
Mohamed Amine Nefzi,2016/2017,,24,,Mohamed Amine Nefzi,,,https://www.transfermarkt.com/mohamed-amine-nefzi/profil/spieler/217597,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€225k
Aymen Ben Amor,2012/2013,,27,,Aymen Ben Amor,,,https://www.transfermarkt.com/aymen-ben-amor/profil/spieler/111951,FC Hammamet,,https://tmssl.akamaized.net//images/wappen/verysmall/42575.png?lm=1459608639,,€100k
Wassim Naghmouchi,2018/2019,,23,,Central Midfield,,,https://www.transfermarkt.com/wassim-naghmouchi/profil/spieler/264336,Al-Shomooa SC,,https://tmssl.akamaized.net//images/wappen/verysmall/111129.png?lm=1689528347,,€450k
Oussema Boughanmi,2012/2013,,23,,Central Midfield,,,https://www.transfermarkt.com/oussema-boughanmi/profil/spieler/133080,CS Saint-Laurent,,https://tmssl.akamaized.net//images/wappen/verysmall/92448.png?lm=1713978833,,€100k
Safouane Ben Salem,2012/2013,27,27,,Central Midfield,,,https://www.transfermarkt.com/safouane-ben-salem/profil/spieler/172959,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€100k
Idriss Mhirsi,2015/2016,8,22,,Attacking Midfield,,,https://www.transfermarkt.com/idriss-mhirsi/profil/spieler/171755,Union Sportive de Ben Guerdane,,https://tmssl.akamaized.net//images/wappen/verysmall/30507.png?lm=1437974422,,€650k
Khalil Gantassi,2012/2013,10,18,,Attacking Midfield,,,https://www.transfermarkt.com/khalil-gantassi/profil/spieler/270264,AS Oued Ellil,,https://tmssl.akamaized.net//images/wappen/verysmall/52841.png?lm=1467547955,,€75k
Youssef Msakni,2012/2013,,22,2.50,Left Winger,,,https://www.transfermarkt.com/youssef-msakni/profil/spieler/69110,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€2.50m
Youcef Belaïli,2025/2026,11,33,1.70,Left Winger,,,https://www.transfermarkt.com/youcef-belaili/profil/spieler/175014,Without Club,,,,€1.70m
Emeka Emerun,2012/2013,,18,,Left Winger,,,https://www.transfermarkt.com/emeka-emerun/profil/spieler/215519,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€75k
Zied Ounalli,2016/2017,,23,,Left Winger,,,https://www.transfermarkt.com/zied-ounalli/profil/spieler/215828,US Tataouine,,https://tmssl.akamaized.net//images/wappen/verysmall/51774.png?lm=1649076197,,€200k
Khaled Gharsallaoui,2016/2017,,26,,Right Winger,,,https://www.transfermarkt.com/khaled-gharsallaoui/profil/spieler/214957,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€275k
Yannick N'Djeng,2014/2015,15,25,,Centre-Forward,,,https://www.transfermarkt.com/yannick-ndjeng/profil/spieler/174946,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€850k
Haythem Jouini,2019/2020,,27,,Centre-Forward,,,https://www.transfermarkt.com/haythem-jouini/profil/spieler/146519,Al-Quwa Al-Jawiya,,https://tmssl.akamaized.net//images/wappen/verysmall/23805.png?lm=1659874773,,€350k
Sami Helal,2016/2017,,28,,Sami Helal,,,https://www.transfermarkt.com/sami-helal/profil/spieler/206758,AS Marsa,,https://tmssl.akamaized.net//images/wappen/verysmall/18792.png?lm=1418329221,,€50k
Mohamed Ali Yaakoubi,2022/2023,6,32,,Mohamed Ali Yaakoubi,,,https://www.transfermarkt.com/mohamed-ali-yaakoubi/profil/spieler/134629,JS Kairouanaise,,https://tmssl.akamaized.net//images/wappen/verysmall/17534.png?lm=1418329709,,€200k
Aminou Bouba,2013/2014,6,23,,Aminou Bouba,,,https://www.transfermarkt.com/aminou-bouba/profil/spieler/263233,Real Kashmir FC,,https://tmssl.akamaized.net//images/wappen/verysmall/67176.png?lm=1564073857,,€100k
Fousseny Coulibaly,2022/2023,15,30,,Centre-Back,,,https://www.transfermarkt.com/fousseny-coulibaly/profil/spieler/291848,Asswehly SC,,https://tmssl.akamaized.net//images/wappen/verysmall/38559.png?lm=1750781288,,€900k
Seddik Mejri,2013/2014,,20,,Centre-Back,,,https://www.transfermarkt.com/seddik-mejri/profil/spieler/304925,EGS Gafsa,,https://tmssl.akamaized.net//images/wappen/verysmall/18793.png?lm=1418329625,,
Bilel Ben Brahim,2013/2014,,24,,Right-Back,,,https://www.transfermarkt.com/bilel-ben-brahim/profil/spieler/121175,FC Hammamet,,https://tmssl.akamaized.net//images/wappen/verysmall/42575.png?lm=1459608639,,€125k
Mouez Aboud,2015/2016,22,22,,Defensive Midfield,,,https://www.transfermarkt.com/mouez-aboud/profil/spieler/274971,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€175k
Chamseddine Samti,2014/2015,27,27,,Chamseddine Samti,,,https://www.transfermarkt.com/chamseddine-samti/profil/spieler/275030,EO Sidi Bouzid,,https://tmssl.akamaized.net//images/wappen/verysmall/44805.png?lm=1673031867,,€75k
Mohamed Ali Mhadhebi,2016/2017,,26,,Mohamed Ali Mhadhebi,,,https://www.transfermarkt.com/mohamed-ali-mhadhebi/profil/spieler/159550,Aigle Sportif Teboulba,,https://tmssl.akamaized.net//images/wappen/verysmall/88476.png?lm=1616250958,,€125k
Seifeddine Jerbi,2014/2015,,24,,Seifeddine Jerbi,,,https://www.transfermarkt.com/seifeddine-jerbi/profil/spieler/252963,ES Radès,,https://tmssl.akamaized.net//images/wappen/verysmall/54944.png?lm=1468792280,,€300k
