Season,Player,Profile URL,Position,Current Club,Market Value,Flashscore Link
2015/2016,Abdoulaye Sissoko,https://www.transfermarkt.com/abdoulaye-sissoko/profil/spieler/174709,Right Winger,Djoliba AC,€75k,Unavailable
2018/2019,Afif Jebali,https://www.transfermarkt.com/afif-jebali/profil/spieler/651141,Centre-Back,Al-Anwar Al-Abyar SC,€25k,Unavailable
2018/2019,Alaeddine Ben Salah,https://www.transfermarkt.com/alaeddine-ben-salah/profil/spieler/680886,Central Midfield,Unknown,,Unavailable
2024/2025,Alaeddine Derbali,https://www.transfermarkt.com/alaeddine-derbali/profil/spieler/1264544,Alaeddine Derbali,Esperance Tunis U21,,Unavailable
2018/2019,Amanallah Lakoud,https://www.transfermarkt.com/amanallah-lakoud/profil/spieler/634699,Amanallah Lakoud,CS Hajeb El Ayoun,,Unavailable
2023/2024,Amenallah Frikhi,https://www.transfermarkt.com/amenallah-frikhi/profil/spieler/1264546,Amenallah Frikhi,Esperance Tunis U21,,Unavailable
2022/2023,Anice Badri,https://www.transfermarkt.com/anice-badri/profil/spieler/164925,Centre-Forward,AFC Dubai,€500k,Unavailable
2012/2013,Aymen Ben Amor,https://www.transfermarkt.com/aymen-ben-amor/profil/spieler/111951,Aymen Ben Amor,FC Hammamet,€100k,Unavailable
2018/2019,Aymen Mahmoud,https://www.transfermarkt.com/aymen-mahmoud/profil/spieler/370034,Centre-Back,Diyala SC,€350k,Unavailable
2020/2021,Badreddine Mouelhi,https://www.transfermarkt.com/badreddine-mouelhi/profil/spieler/807057,Defensive Midfield,EO Sidi Bouzid,€50k,Unavailable
2016/2017,Bernard Bulbwa,https://www.transfermarkt.com/bernard-bulbwa/profil/spieler/364294,Bernard Bulbwa,Suez SC,€150k,Unavailable
2013/2014,Bilel Ben Brahim,https://www.transfermarkt.com/bilel-ben-brahim/profil/spieler/121175,Right-Back,FC Hammamet,€125k,Unavailable
2019/2020,Billel Bensaha,https://www.transfermarkt.com/billel-bensaha/profil/spieler/323326,Left Winger,USM El Harrach,€325k,Unavailable
2017/2018,Chams Deen Chaona,https://www.transfermarkt.com/chams-deen-chaona/profil/spieler/570510,Chams Deen Chaona,Loto-Popo FC,€50k,Unavailable
2014/2015,Chamseddine Samti,https://www.transfermarkt.com/chamseddine-samti/profil/spieler/275030,Chamseddine Samti,EO Sidi Bouzid,€75k,Unavailable
2014/2015,Chedli Ghrab,https://www.transfermarkt.com/chedli-ghrab/profil/spieler/253465,Right Winger,Progrès Sportif Sakiet Eddaier,€250k,Unavailable
2014/2015,Daouda Camara,https://www.transfermarkt.com/daouda-camara/profil/spieler/304141,Daouda Camara,El Alameen SC,€50k,Unavailable
2013/2014,Ernest Thierry Anang,https://www.transfermarkt.com/ernest-thierry-anang/profil/spieler/307280,Ernest Thierry Anang,Al-Bahri SC,,Unavailable
2014/2015,Hamza Letifi,https://www.transfermarkt.com/hamza-letifi/profil/spieler/376089,Hamza Letifi,Sporting Club de Ben Arous,,Unavailable
2014/2015,Hassen Harbaoui,https://www.transfermarkt.com/hassen-harbaoui/profil/spieler/154736,Hassen Harbaoui,US Siliana,€300k,Unavailable
2020/2021,Houcine Rabii,https://www.transfermarkt.com/houcine-rabii/profil/spieler/337291,Left-Back,ES Rogba Tataouine,€200k,Unavailable
2023/2024,Khaireddine Meddaoui,https://www.transfermarkt.com/khaireddine-meddaoui/profil/spieler/1264545,Midfielder,Esperance Tunis U21,,Unavailable
2012/2013,Khalil Gantassi,https://www.transfermarkt.com/khalil-gantassi/profil/spieler/270264,Attacking Midfield,AS Oued Ellil,€75k,Unavailable
2014/2015,Magno Cruz,https://www.transfermarkt.com/magno-cruz/profil/spieler/109131,Centre-Forward,Shanghai Jiading Huilong Reserves,,Unavailable
2017/2018,Malek Charfi,https://www.transfermarkt.com/malek-charfi/profil/spieler/578910,Right-Back,Al-Shat Tripoli,€50k,Unavailable
2016/2017,Mohamed Ali Mhadhebi,https://www.transfermarkt.com/mohamed-ali-mhadhebi/profil/spieler/159550,Mohamed Ali Mhadhebi,Aigle Sportif Teboulba,€125k,Unavailable
2017/2018,Mohamed Ali Moncer,https://www.transfermarkt.com/mohamed-ali-moncer/profil/spieler/172296,Mohamed Ali Moncer,FC Brandbergen,€700k,Unavailable
2021/2022,Mohamed Amine Meskini,https://www.transfermarkt.com/mohamed-amine-meskini/profil/spieler/422389,Mohamed Amine Meskini,Al-Watan SC,€200k,Unavailable
2018/2019,Mohamed Aziz Ben Charnia,https://www.transfermarkt.com/mohamed-aziz-ben-charnia/profil/spieler/842988,Mohamed Aziz Ben Charnia,SC Moknine,,Unavailable
