Season,Player,Profile URL,Position,Current Club,Market Value,Flashscore Link
2021/2022,Abdelaziz Knani,https://www.transfermarkt.com/abdelaziz-knani/profil/spieler/1071324,Centre-Back,Esperance Tunis,,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/ 
2021/2022,Abdelkader Bedrane,https://www.transfermarkt.com/abdelkader-bedrane/profil/spieler/376649,Centre-Back,Damac FC,€900k,https://www.flashscore.com/team/damac/8fU7v9J7/
2020/2021,Abdelraouf Benguit,https://www.transfermarkt.com/abdelraouf-benguit/profil/spieler/345810,Central Midfield,CR Belouizdad,€1.20m,https://www.flashscore.com/team/cr-belouizdad/4z0K7e9a/
2020/2021,Abderrahmane Meziane,https://www.transfermarkt.com/abderrahmane-meziane/profil/spieler/321198,Left Winger,CR Belouizdad,€700k,https://www.flashscore.com/team/cr-belouizdad/4z0K7e9a/
2024/2025,Abdramane Konaté,https://www.transfermarkt.com/abdramane-konate/profil/spieler/1099653,Abdramane Konaté,Esperance Tunis,€850k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2024/2025,Aboubacar Diakité,https://www.transfermarkt.com/aboubacar-diakite/profil/spieler/1346971,Centre-Forward,Esperance Tunis,€75k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2024/2025,Achref Jabri,https://www.transfermarkt.com/achref-jabri/profil/spieler/1180073,Centre-Forward,Esperance Tunis,€500k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2024/2025,Ahmed Bouassida,https://www.transfermarkt.com/ahmed-bouassida/profil/spieler/1161133,Centre-Forward,Esperance Tunis,€275k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2021/2022,Alaeddine Marzouki,https://www.transfermarkt.com/alaeddine-marzouki/profil/spieler/210051,Centre-Forward,Hajer Club,€450k,https://www.flashscore.com/team/hajer/6gJ8v3F7/
2015/2016,Ali Abdi,https://www.transfermarkt.com/ali-abdi/profil/spieler/211474,Left-Back,OGC Nice,€175k,https://www.flashscore.com/team/nice/7vU1y8v7/
