Player,Season,EST_Seasons,Total_EST_Seasons,Jersey_Number,Age,Birth_Date,Height,Preferred_Foot,Position,Detailed_Position,Nationality,Player_Image,Profile_URL,Current_Club,Current_Club_URL,Current_Club_Logo,Club_Country,Club_Logo,Club_Founded,Market_Value,Contract_Expires,Agent
Amanallah Memmiche,2024/2025,2024/2025,1,1,,20.04.2004 (21),"1,91 m",,Amanallah Memmiche,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/amanallah-memmiche/profil/spieler/1063397,Esperance Tunis,,,,,,€800k,,
Bechir Ben Said,2024/2025,2024/2025,1,32,,29.11.1992 (32),"1,94 m",,Goalkeeper,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/bechir-ben-said/profil/spieler/348144,Esperance Tunis,,,,,,€650k,,
Mohamed Sedki Debchi,2024/2025,2024/2025,1,26,,28.10.1999 (25),"1,95 m",,Mohamed Sedki Debchi,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/mohamed-sedki-debchi/profil/spieler/572190,Esperance Tunis,,,,,,€100k,,
Wassim Karoui,2024/2025,2024/2025,1,31,,07.01.1997 (28),"1,86 m",,Goalkeeper,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/wassim-karoui/profil/spieler/402696,Esperance Tunis,,,,,,,,
Mokhtar Ifaoui,2024/2025,2024/2025,1,16,,02.03.2003 (22),"1,92 m",,Goalkeeper,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/mokhtar-ifaoui/profil/spieler/1370391,Esperance Tunis,,,,,,,,
Mohamed Amine Tougai,2024/2025,2024/2025,1,15,,22.01.2000 (25),"1,91 m",,Mohamed Amine Tougai,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/mohamed-amine-tougai/profil/spieler/592396,Esperance Tunis,,,,,,€1.50m,,
Yassine Meriah,2024/2025,2024/2025,1,5,,02.07.1993 (32),"1,88 m",,Centre-Back,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/yassine-meriah/profil/spieler/306330,Esperance Tunis,,,,,,€1.20m,,
Hamza Jelassi,2024/2025,2024/2025,1,6,,29.09.1991 (33),"1,89 m",,Hamza Jelassi,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/hamza-jelassi/profil/spieler/244044,Esperance Tunis,,,,,,€400k,,
Koussay Smiri,2024/2025,2024/2025,1,3,,17.07.2004 (21),"1,85 m",,Centre-Back,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/koussay-smiri/profil/spieler/1246844,Esperance Tunis,,,,,,€175k,,
Aziz Koudhai,2024/2025,2024/2025,1,35,,07.08.2004 (21),"1,89 m",,Centre-Back,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/aziz-koudhai/profil/spieler/1359369,Esperance Tunis,,,,,,€25k,,
