name,season,jersey_number,age,height,position,nationality,market_value,profile_url,image_url
Amanallah Memmiche,2025/2026,1,21,"1,91 m",Goalkeeper,Tunisia,€800k,https://www.transfermarkt.com/amanallah-memmiche/profil/spieler/1063397,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
Bechir Ben Said,2025/2026,32,32,"1,94 m",Goalkeeper,Tunisia,€650k,https://www.transfermarkt.com/bechir-ben-said/profil/spieler/348144,https://img.a.transfermarkt.technology/portrait/header/348144-1632991446.png?lm=1
Mohamed Sedki Debchi,2025/2026,26,25,"1,95 m",Goalkeeper,Tunisia,€100k,https://www.transfermarkt.com/mohamed-sedki-debchi/profil/spieler/572190,https://img.a.transfermarkt.technology/portrait/header/572190-1524331232.jpg?lm=1
Mokhtar Ifaoui,2025/2026,16,22,"1,92 m",Goalkeeper,Tunisia,-,https://www.transfermarkt.com/mokhtar-ifaoui/profil/spieler/1370391,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
Mohamed Amine Tougai,2025/2026,15,25,"1,91 m",Centre-Back,Algeria,€1.50m,https://www.transfermarkt.com/mohamed-amine-tougai/profil/spieler/592396,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
Yassine Meriah,2025/2026,5,32,"1,88 m",Centre-Back,Tunisia,€1.20m,https://www.transfermarkt.com/yassine-meriah/profil/spieler/306330,https://img.a.transfermarkt.technology/portrait/header/306330-1585411859.jpeg?lm=1
Hamza Jelassi,2025/2026,6,33,"1,89 m",Centre-Back,Tunisia,€400k,https://www.transfermarkt.com/hamza-jelassi/profil/spieler/244044,https://img.a.transfermarkt.technology/portrait/header/244044-1632991423.png?lm=1
Abdelaziz Knani,2025/2026,,23,"1,86 m",Centre-Back,Tunisia,€150k,https://www.transfermarkt.com/abdelaziz-knani/profil/spieler/1071324,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
Aziz Koudhai,2025/2026,,21,"1,89 m",Centre-Back,Tunisia,€25k,https://www.transfermarkt.com/aziz-koudhai/profil/spieler/1359369,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
Mohamed Amine Ben Hamida,2025/2026,20,29,"1,81 m",Left-Back,Tunisia,€700k,https://www.transfermarkt.com/mohamed-amine-ben-hamida/profil/spieler/454495,https://img.a.transfermarkt.technology/portrait/header/454495-1646245853.jpeg?lm=1
Nidhal Laifi,2025/2026,12,27,"1,82 m",Left-Back,Tunisia,€550k,https://www.transfermarkt.com/nidhal-laifi/profil/spieler/564882,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
Amanallah Mjahed,2025/2026,,22,,Left-Back,Tunisia,€350k,https://www.transfermarkt.com/amanallah-mjahed/profil/spieler/1008462,
Raed Bouchniba,2025/2026,13,21,"1,82 m",Right-Back,Tunisia,€650k,https://www.transfermarkt.com/raed-bouchniba/profil/spieler/1008461,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
Mohamed Ben Ali,2025/2026,2,30,"1,75 m",Right-Back,Tunisia,€500k,https://www.transfermarkt.com/mohamed-ben-ali/profil/spieler/290406,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
