Season,Player,Profile URL,Position,Current Club,Market Value
2021/2022,Abdelaziz Knani,https://www.transfermarkt.com/abdelaziz-knani/profil/spieler/1071324,Centre-Back,Esperance Tunis,
2021/2022,Abdelkader Bedrane,https://www.transfermarkt.com/abdelkader-bedrane/profil/spieler/376649,Centre-Back,Damac FC,€900k
2018/2019,Abdelmajid Haouachi,https://www.transfermarkt.com/abdelmajid-haouachi/profil/spieler/634700,Left-Back,Without Club,
2020/2021,Abdelraouf Benguit,https://www.transfermarkt.com/abdelraouf-benguit/profil/spieler/345810,Central Midfield,CR Belouizdad,€1.20m
2020/2021,Abderrahmane Meziane,https://www.transfermarkt.com/abderrahmane-meziane/profil/spieler/321198,Left Winger,CR Belouizdad,€700k
2021/2022,Abderrazak Ben Ammar,https://www.transfermarkt.com/abderrazak-ben-ammar/profil/spieler/1023355,Abderrazak Ben Ammar,Without Club,
2015/2016,Abdoulaye Sissoko,https://www.transfermarkt.com/abdoulaye-sissoko/profil/spieler/174709,Right Winger,Djoliba AC,€75k
2024/2025,Abdramane Konaté,https://www.transfermarkt.com/abdramane-konate/profil/spieler/1099653,Abdramane Konaté,Esperance Tunis,€850k
2024/2025,Aboubacar Diakité,https://www.transfermarkt.com/aboubacar-diakite/profil/spieler/1346971,Centre-Forward,Esperance Tunis,€75k
2024/2025,Achref Jabri,https://www.transfermarkt.com/achref-jabri/profil/spieler/1180073,Centre-Forward,Esperance Tunis,€500k
2018/2019,Adam Rejaibi,https://www.transfermarkt.com/adam-rejaibi/profil/spieler/208581,Adam Rejaibi,Without Club,€400k
2018/2019,Afif Jebali,https://www.transfermarkt.com/afif-jebali/profil/spieler/651141,Centre-Back,Al-Anwar Al-Abyar SC,€25k
2024/2025,Ahmed Bouassida,https://www.transfermarkt.com/ahmed-bouassida/profil/spieler/1161133,Centre-Forward,Esperance Tunis,€275k
2013/2014,Ahmed Brahim Naili,https://www.transfermarkt.com/ahmed-brahim-naili/profil/spieler/272665,Left-Back,Without Club,€25k
2018/2019,Alaeddine Ben Salah,https://www.transfermarkt.com/alaeddine-ben-salah/profil/spieler/680886,Central Midfield,Unknown,
2024/2025,Alaeddine Derbali,https://www.transfermarkt.com/alaeddine-derbali/profil/spieler/1264544,Alaeddine Derbali,Esperance Tunis U21,
2021/2022,Alaeddine Marzouki,https://www.transfermarkt.com/alaeddine-marzouki/profil/spieler/210051,Centre-Forward,Hajer Club,€450k
2015/2016,Ali Abdi,https://www.transfermarkt.com/ali-abdi/profil/spieler/211474,Left-Back,OGC Nice,€175k
2018/2019,Ali Jemal,https://www.transfermarkt.com/ali-jemal/profil/spieler/221355,Goalkeeper,Al-Merrikh SC,€300k
2018/2019,Amanallah Lakoud,https://www.transfermarkt.com/amanallah-lakoud/profil/spieler/634699,Amanallah Lakoud,CS Hajeb El Ayoun,
2024/2025,Amanallah Memmiche,https://www.transfermarkt.com/amanallah-memmiche/profil/spieler/1063397,Amanallah Memmiche,Esperance Tunis,€800k
2023/2024,Amanallah Mjahed,https://www.transfermarkt.com/amanallah-mjahed/profil/spieler/1008462,Amanallah Mjahed,Esperance Tunis,€25k
2023/2024,Amenallah Frikhi,https://www.transfermarkt.com/amenallah-frikhi/profil/spieler/1264546,Amenallah Frikhi,Esperance Tunis U21,
2013/2014,Aminou Bouba,https://www.transfermarkt.com/aminou-bouba/profil/spieler/263233,Aminou Bouba,Real Kashmir FC,€100k
2021/2022,Anayo Iwuala,https://www.transfermarkt.com/anayo-iwuala/profil/spieler/686200,Left Winger,Al-Arabi SC (Kuwait),€900k
2023/2024,André Bukia,https://www.transfermarkt.com/andre-bukia/profil/spieler/343289,Right Winger,Without Club,€400k
2022/2023,Anice Ammous,https://www.transfermarkt.com/anice-ammous/profil/spieler/1010651,Anice Ammous,Without Club,
2022/2023,Anice Badri,https://www.transfermarkt.com/anice-badri/profil/spieler/164925,Centre-Forward,AFC Dubai,€500k
2024/2025,Ayman Ben Mohamed,https://www.transfermarkt.com/ayman-ben-mohamed/profil/spieler/249446,Ayman Ben Mohamed,Without Club,€300k
2012/2013,Aymen Ben Amor,https://www.transfermarkt.com/aymen-ben-amor/profil/spieler/111951,Aymen Ben Amor,FC Hammamet,€100k
2018/2019,Aymen Mahmoud,https://www.transfermarkt.com/aymen-mahmoud/profil/spieler/370034,Centre-Back,Diyala SC,€350k
2023/2024,Aziz Abid,https://www.transfermarkt.com/aziz-abid/profil/spieler/1008460,Left Winger,US Monastir,€150k
2023/2024,Aziz Fellah,https://www.transfermarkt.com/aziz-fellah/profil/spieler/797780,Attacking Midfield,Esperance Tunis,€25k
2024/2025,Aziz Koudhai,https://www.transfermarkt.com/aziz-koudhai/profil/spieler/1359369,Centre-Back,Esperance Tunis,€25k
2020/2021,Badreddine Mouelhi,https://www.transfermarkt.com/badreddine-mouelhi/profil/spieler/807057,Defensive Midfield,EO Sidi Bouzid,€50k
2024/2025,Bechir Ben Said,https://www.transfermarkt.com/bechir-ben-said/profil/spieler/348144,Goalkeeper,Esperance Tunis,€650k
2016/2017,Bernard Bulbwa,https://www.transfermarkt.com/bernard-bulbwa/profil/spieler/364294,Bernard Bulbwa,Suez SC,€150k
2013/2014,Bilel Ben Brahim,https://www.transfermarkt.com/bilel-ben-brahim/profil/spieler/121175,Right-Back,FC Hammamet,€125k
2023/2024,Bilel Chabbar,https://www.transfermarkt.com/bilel-chabbar/profil/spieler/841507,Centre-Back,Without Club,€125k
2018/2019,Bilel Mejri,https://www.transfermarkt.com/bilel-mejri/profil/spieler/441208,Right Winger,Al-Akhdar SC,€400k
2024/2025,Bilel Sahli,https://www.transfermarkt.com/bilel-sahli/profil/spieler/710593,Second Striker,Esperance Tunis,
2019/2020,Billel Bensaha,https://www.transfermarkt.com/billel-bensaha/profil/spieler/323326,Left Winger,USM El Harrach,€325k
2021/2022,Cedrik Gbo,https://www.transfermarkt.com/cedrik-gbo/profil/spieler/841501,Defensive Midfield,Etoile Sportive du Sahel,€250k
2017/2018,Chams Deen Chaona,https://www.transfermarkt.com/chams-deen-chaona/profil/spieler/570510,Chams Deen Chaona,Loto-Popo FC,€50k
2014/2015,Chamseddine Samti,https://www.transfermarkt.com/chamseddine-samti/profil/spieler/275030,Chamseddine Samti,EO Sidi Bouzid,€75k
2014/2015,Chedli Ghrab,https://www.transfermarkt.com/chedli-ghrab/profil/spieler/253465,Right Winger,Progrès Sportif Sakiet Eddaier,€250k
2024/2025,Chiheb Jebali,https://www.transfermarkt.com/chiheb-jebali/profil/spieler/295409,Attacking Midfield,Esperance Tunis,€1.00m
2014/2015,Daouda Camara,https://www.transfermarkt.com/daouda-camara/profil/spieler/304141,Daouda Camara,El Alameen SC,€50k
2024/2025,Elias Mokwana,https://www.transfermarkt.com/elias-mokwana/profil/spieler/968496,Right Winger,Al-Hazem SC,€750k
2024/2025,Elyas Bouzaiene,https://www.transfermarkt.com/elyas-bouzaiene/profil/spieler/369308,Right-Back,Esperance Tunis,€300k
2016/2017,Elyes Jelassi,https://www.transfermarkt.com/elyes-jelassi/profil/spieler/292219,Attacking Midfield,Stade Tunisien,€250k
2012/2013,Emeka Emerun,https://www.transfermarkt.com/emeka-emerun/profil/spieler/215519,Left Winger,Without Club,€75k
2013/2014,Ernest Thierry Anang,https://www.transfermarkt.com/ernest-thierry-anang/profil/spieler/307280,Ernest Thierry Anang,Al-Bahri SC,
