Player,Season,Jersey_Number,Age,Height,Position,Nationality,Player_Image,Profile_URL,Current_Club,Current_Club_URL,Current_Club_Logo,Current_Club_Country,Market_Value
Moez Ben Cherifia,2019/2020,1,29,1.82 m,Goalkeeper,Tunisia,https://img.a.transfermarkt.technology/portrait/header/143581-1523616475.jpg?lm=1,https://www.transfermarkt.com/moez-ben-cherifia/profil/spieler/143581,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€800k
Rami Jeridi,2019/2020,19,35,1.84 m,Goalkeeper,Tunisia,https://img.a.transfermarkt.technology/portrait/header/122489-1589450102.jpg?lm=1,https://www.transfermarkt.com/rami-jeridi/profil/spieler/122489,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€400k
Mohamed Sedki Debchi,2019/2020,21,20,1.95 m,Goalkeeper,Tunisia,https://img.a.transfermarkt.technology/portrait/header/572190-1524331232.jpg?lm=1,https://www.transfermarkt.com/mohamed-sedki-debchi/profil/spieler/572190,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€300k
Wassim Karoui,2019/2020,,23,1.86 m,Goalkeeper,Tunisia,https://tmssl.akamaized.net//images/erfolge/header/258.png?lm=1654593989,https://www.transfermarkt.com/wassim-karoui/profil/spieler/402696,Without Club,https://www.transfermarkt.com/vereinslos/startseite/verein/515,,,€150k
Fousseny Coulibaly,2019/2020,15,27,1.93 m,Centre-Back,Cote d'Ivoire,https://img.a.transfermarkt.technology/portrait/header/291848-1589449959.jpg?lm=1,https://www.transfermarkt.com/fousseny-coulibaly/profil/spieler/291848,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€1.00m
Abdelkader Bedrane,2019/2020,30,28,1.85 m,Centre-Back,Algeria,https://img.a.transfermarkt.technology/portrait/header/376649-1680214671.JPG?lm=1,https://www.transfermarkt.com/abdelkader-bedrane/profil/spieler/376649,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€650k
Khalil Chemmam,2019/2020,12,32,1.80 m,Centre-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/s_108831_3342_2014_02_19_1.jpg?lm=1,https://www.transfermarkt.com/khalil-chemmam/profil/spieler/108831,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€600k
Chamseddine Dhaouadi,2019/2020,5,33,1.93 m,Centre-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/133227-1523616931.jpg?lm=1,https://www.transfermarkt.com/chamseddine-dhaouadi/profil/spieler/133227,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€550k
Mohamed Amine Tougai,2019/2020,4,20,1.91 m,Centre-Back,Algeria,https://tmssl.akamaized.net//images/erfolge/header/258.png?lm=1654593989,https://www.transfermarkt.com/mohamed-amine-tougai/profil/spieler/592396,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€500k
Mohamed Ali Yaakoubi,2019/2020,6,29,1.92 m,Centre-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/134629-1478270223.jpg?lm=1,https://www.transfermarkt.com/mohamed-ali-yaakoubi/profil/spieler/134629,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€475k
Ilyes Chetti,2019/2020,23,25,1.76 m,Left-Back,Algeria,https://img.a.transfermarkt.technology/portrait/header/477834-1755271436.jpg?lm=1,https://www.transfermarkt.com/ilyes-chetti/profil/spieler/477834,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€600k
Houcine Rabii,2019/2020,26,28,1.78 m,Left-Back,Tunisia,https://tmssl.akamaized.net//images/erfolge/header/258.png?lm=1654593989,https://www.transfermarkt.com/houcine-rabii/profil/spieler/337291,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€300k
Mohamed Amine Ben Hamida,2019/2020,20,24,1.81 m,Left-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/454495-1646245853.jpeg?lm=1,https://www.transfermarkt.com/mohamed-amine-ben-hamida/profil/spieler/454495,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€100k
Iheb Mbarki,2019/2020,24,28,1.87 m,Right-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/122374-1620936394.JPG?lm=1,https://www.transfermarkt.com/iheb-mbarki/profil/spieler/122374,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€600k
Sameh Derbali,2019/2020,22,33,1.78 m,Right-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/s_69097_3342_2014_02_19_1.jpg?lm=1,https://www.transfermarkt.com/sameh-derbali/profil/spieler/69097,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€325k
Raed Fadaa,2019/2020,13,23,1.68 m,Right-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/537392-1589449345.jpg?lm=1,https://www.transfermarkt.com/raed-fadaa/profil/spieler/537392,Without Club,https://www.transfermarkt.com/vereinslos/startseite/verein/515,,,€300k
Samuel Atvati,2019/2020,2,20,1.76 m,Right-Back,Nigeria,https://img.a.transfermarkt.technology/portrait/header/628191-1696871255.png?lm=1,https://www.transfermarkt.com/samuel-atvati/profil/spieler/628191,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€175k
Kwame Bonsu,2019/2020,3,25,1.82 m,Attacking Midfield,Ghana,https://img.a.transfermarkt.technology/portrait/header/s_269558_2719_2014_03_10_2.jpg?lm=1,https://www.transfermarkt.com/kwame-bonsu/profil/spieler/269558,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€350k
Mohamed Amine Meskini,2019/2020,28,23,1.80 m,Attacking Midfield,Tunisia,https://img.a.transfermarkt.technology/portrait/header/422389-1589449807.jpg?lm=1,https://www.transfermarkt.com/mohamed-amine-meskini/profil/spieler/422389,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€325k
Badreddine Mouelhi,2019/2020,,21,1.87 m,,Tunisia,https://tmssl.akamaized.net//images/erfolge/header/258.png?lm=1654593989,https://www.transfermarkt.com/badreddine-mouelhi/profil/spieler/807057,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,
Abdelraouf Benguit,2019/2020,18,24,1.74 m,,Algeria,https://img.a.transfermarkt.technology/portrait/header/345810-1493924005.png?lm=1,https://www.transfermarkt.com/abdelraouf-benguit/profil/spieler/345810,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€950k
Mohamed Ali Ben Romdhane,2019/2020,27,20,1.85 m,Attacking Midfield,Tunisia,https://img.a.transfermarkt.technology/portrait/header/577881-1589449447.jpg?lm=1,https://www.transfermarkt.com/mohamed-ali-ben-romdhane/profil/spieler/577881,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€400k
Youssef Mosrati,2019/2020,29,20,1.71 m,,Tunisia,https://tmssl.akamaized.net//images/erfolge/header/258.png?lm=1654593989,https://www.transfermarkt.com/youssef-mosrati/profil/spieler/651142,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€50k
Hamdou El Houni,2019/2020,10,26,1.69 m,Attacking Midfield,Libya,https://img.a.transfermarkt.technology/portrait/header/377605-1477992873.jpg?lm=1,https://www.transfermarkt.com/hamdou-el-houni/profil/spieler/377605,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€725k
Fedi Ben Choug,2019/2020,25,25,1.89 m,,Tunisia,https://img.a.transfermarkt.technology/portrait/header/415482-1711909649.png?lm=1,https://www.transfermarkt.com/fedi-ben-choug/profil/spieler/415482,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€475k
Abderrahmane Meziane,2019/2020,17,26,1.68 m,Left Winger,Algeria,https://img.a.transfermarkt.technology/portrait/header/321198-1755272078.jpg?lm=1,https://www.transfermarkt.com/abderrahmane-meziane/profil/spieler/321198,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€800k
Billel Bensaha,2019/2020,7,26,1.70 m,Left Winger,Algeria,https://img.a.transfermarkt.technology/portrait/header/323326-1708648352.png?lm=1,https://www.transfermarkt.com/billel-bensaha/profil/spieler/323326,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€325k
Maher Ben Seghaier,2019/2020,16,24,1.82 m,Left Winger,Tunisia,https://tmssl.akamaized.net//images/erfolge/header/258.png?lm=1654593989,https://www.transfermarkt.com/maher-ben-seghaier/profil/spieler/403255,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€250k
Farouk Mimouni,2019/2020,,19,1.69 m,Left Winger,Tunisia,https://tmssl.akamaized.net//images/erfolge/header/258.png?lm=1654593989,https://www.transfermarkt.com/farouk-mimouni/profil/spieler/782597,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,
