Player,Season,Jersey_Number,Age,Height,Position,Nationality,Player_Image,Profile_URL,Current_Club,Current_Club_URL,Current_Club_Logo,Current_Club_Country,Market_Value
Abdoulaye Sissoko,2015/2016,,,,Right Winger,,,https://www.transfermarkt.com/abdoulaye-sissoko/profil/spieler/174709,Djoliba AC,,https://tmssl.akamaized.net//images/wappen/verysmall/1955.png?lm=1724764190,,€75k
Abdramane Konaté,2024/2025,21,,,Abdramane Konaté,,,https://www.transfermarkt.com/abdramane-konate/profil/spieler/1099653,Esperance Tunis,,https://tmssl.akamaized.net//images/wappen/verysmall/3342.png?lm=1673031552,,€850k
Aboubacar Diakité,2024/2025,40,0,,Centre-Forward,,,https://www.transfermarkt.com/aboubacar-diakite/profil/spieler/1346971,Esperance Tunis,,https://tmssl.akamaized.net//images/wappen/verysmall/3342.png?lm=1673031552,,€75k
Achref Jabri,2024/2025,19,3,,Centre-Forward,,,https://www.transfermarkt.com/achref-jabri/profil/spieler/1180073,Esperance Tunis,,https://tmssl.akamaized.net//images/wappen/verysmall/3342.png?lm=1673031552,,€500k
Adam Rejaibi,2015/2016,19,,,Adam Rejaibi,,,https://www.transfermarkt.com/adam-rejaibi/profil/spieler/208581,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€700k
Ahmed Bouassida,2024/2025,,,,Centre-Forward,,,https://www.transfermarkt.com/ahmed-bouassida/profil/spieler/1161133,Esperance Tunis,,https://tmssl.akamaized.net//images/wappen/verysmall/3342.png?lm=1673031552,,€275k
Ahmed Brahim Naili,2013/2014,,,,Left-Back,,,https://www.transfermarkt.com/ahmed-brahim-naili/profil/spieler/272665,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€25k
Alaeddine Derbali,2024/2025,,20,,Alaeddine Derbali,,,https://www.transfermarkt.com/alaeddine-derbali/profil/spieler/1264544,Esperance Tunis U21,,https://tmssl.akamaized.net//images/wappen/verysmall/31167.png?lm=1673031553,,
Ali Abdi,2015/2016,2,,,Left-Back,,,https://www.transfermarkt.com/ali-abdi/profil/spieler/211474,OGC Nice,,https://tmssl.akamaized.net//images/wappen/verysmall/417.png?lm=1408779490,,€175k
Ali Jemal,2015/2016,23,,,Goalkeeper,,,https://www.transfermarkt.com/ali-jemal/profil/spieler/221355,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€200k
