Player,Season,Jersey_Number,Age,Height,Position,Nationality,Player_Image,Profile_URL,Current_Club,Current_Club_URL,Current_Club_Logo,Current_Club_Country,Market_Value
Abdelaziz Knani,2025/2026,,-2,,Centre-Back,Tunisia,,https://www.transfermarkt.com/abdelaziz-knani/profil/spieler/1071324,Without Club,,,,€150k
Abdelkader Bedrane,2021/2022,30,,,Centre-Back,Algeria,,https://www.transfermarkt.com/abdelkader-bedrane/profil/spieler/376649,Damac FC,,https://tmssl.akamaized.net//images/wappen/verysmall/50532.png?lm=1756255283,,€900k
Abdelmajid Haouachi,2018/2019,,,,Left-Back,Tunisia,,https://www.transfermarkt.com/abdelmajid-haouachi/profil/spieler/634700,AMS Megrine,,https://tmssl.akamaized.net//images/wappen/verysmall/39610.png?lm=1468102362,,
Abdelraouf Benguit,2019/2020,18,,,Central Midfield,Algeria,,https://www.transfermarkt.com/abdelraouf-benguit/profil/spieler/345810,CR Belouizdad,,https://tmssl.akamaized.net//images/wappen/verysmall/13365.png?lm=1695752455,,€950k
Abderrahmane Meziane,2019/2020,17,,,Left Winger,Algeria,,https://www.transfermarkt.com/abderrahmane-meziane/profil/spieler/321198,CR Belouizdad,,https://tmssl.akamaized.net//images/wappen/verysmall/13365.png?lm=1695752455,,€800k
Abderrazak Ben Ammar,2021/2022,,,,Right Winger,Tunisia,,https://www.transfermarkt.com/abderrazak-ben-ammar/profil/spieler/1023355,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,
Abdoulaye Sissoko,2015/2016,,,,Right Winger,Mali,,https://www.transfermarkt.com/abdoulaye-sissoko/profil/spieler/174709,Djoliba AC,,https://tmssl.akamaized.net//images/wappen/verysmall/1955.png?lm=1724764190,,€75k
Abdramane Konaté,2025/2026,21,-3,,Attacking Midfield,Cote d'Ivoire,,https://www.transfermarkt.com/abdramane-konate/profil/spieler/1099653,Without Club,,,,€850k
Aboubacar Diakité,2025/2026,29,-2,,Centre-Forward,Mali,,https://www.transfermarkt.com/aboubacar-diakite/profil/spieler/1346971,Without Club,,,,€75k
Achref Jabri,2025/2026,19,-3,,Centre-Forward,Tunisia,,https://www.transfermarkt.com/achref-jabri/profil/spieler/1180073,Without Club,,,,€500k
Adam Rejaibi,2018/2019,7,,,Left Winger,Tunisia,,https://www.transfermarkt.com/adam-rejaibi/profil/spieler/208581,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€400k
Afif Jebali,2018/2019,4,,,Centre-Back,Tunisia,,https://www.transfermarkt.com/afif-jebali/profil/spieler/651141,Al-Anwar Al-Abyar SC,,https://tmssl.akamaized.net//images/wappen/verysmall/71006.png?lm=1737636334,,€25k
Ahmed Bouassida,2025/2026,33,-4,,Centre-Forward,Tunisia,,https://www.transfermarkt.com/ahmed-bouassida/profil/spieler/1161133,Without Club,,,,€275k
Ahmed Brahim Naili,2013/2014,,,,Left-Back,Tunisia,,https://www.transfermarkt.com/ahmed-brahim-naili/profil/spieler/272665,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€25k
Alaeddine Ben Salah,2018/2019,,,,Central Midfield,Tunisia,,https://www.transfermarkt.com/alaeddine-ben-salah/profil/spieler/680886,Unknown,,https://tmssl.akamaized.net//images/wappen/verysmall/75.png?lm=1456997316,,
Alaeddine Derbali,2023/2024,,,,Centre-Back,Tunisia,,https://www.transfermarkt.com/alaeddine-derbali/profil/spieler/1264544,Esperance Tunis U21,,https://tmssl.akamaized.net//images/wappen/verysmall/31167.png?lm=1673031553,,
Alaeddine Marzouki,2021/2022,7,,,Centre-Forward,Tunisia,,https://www.transfermarkt.com/alaeddine-marzouki/profil/spieler/210051,Hajer Club,,https://tmssl.akamaized.net//images/wappen/verysmall/32343.png?lm=1694657600,,€450k
Ali Abdi,2015/2016,2,,,Left-Back,Tunisia,,https://www.transfermarkt.com/ali-abdi/profil/spieler/211474,OGC Nice,,https://tmssl.akamaized.net//images/wappen/verysmall/417.png?lm=1408779490,,€175k
Ali Jemal,2018/2019,23,,,Goalkeeper,Tunisia,,https://www.transfermarkt.com/ali-jemal/profil/spieler/221355,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€300k
