Team Name,Country,Flashscore URL,Status,Country URL
Cebu,Tunisia,Not Found,Not found,https://www.flashscore.com/football/tunisia/
Al Tersana,Tunisia,Not Found,Not found,https://www.flashscore.com/football/tunisia/
US Ben Guerdane,Tunisia,https://www.flashscore.com/team/us-ben-guerdane/,"Direct match (low, generated)",https://www.flashscore.com/football/tunisia/
JS Kairouan,Tunisia,https://www.flashscore.com/team/js-kairouan/,"Direct match (low, generated)",https://www.flashscore.com/football/tunisia/
Esperance,Tunisia,https://www.flashscore.com/team/esperance/,"Direct match (low, generated)",https://www.flashscore.com/football/tunisia/
EO Sidi Bouzid,Tunisia,https://www.flashscore.com/team/eo-sidi-bouzid/,"Direct match (low, generated)",https://www.flashscore.com/football/tunisia/
Al-Ittihad,Tunisia,Not Found,Not found,https://www.flashscore.com/football/tunisia/
AS Soliman,Tunisia,https://www.flashscore.com/team/as-soliman/,"Direct match (low, generated)",https://www.flashscore.com/football/tunisia/
Al-Watan,Tunisia,Not Found,Not found,https://www.flashscore.com/football/tunisia/
US Monastir,Tunisia,https://www.flashscore.com/team/us-monastir/,"Direct match (low, generated)",https://www.flashscore.com/football/tunisia/
CA Bizertin,Tunisia,https://www.flashscore.com/team/ca-bizertin/,"Direct match (low, generated)",https://www.flashscore.com/football/tunisia/
ES Sahel,Tunisia,https://www.flashscore.com/team/es-sahel/,"Direct match (low, generated)",https://www.flashscore.com/football/tunisia/
Rogba Tataouine,Tunisia,Not Found,Not found,https://www.flashscore.com/football/tunisia/
Al-Ahli,Libya,https://www.flashscore.com/team/al-ahli/,"Direct match (low, generated)",https://www.flashscore.com/football/libya/
Al-Ahly,Libya,Not Found,Not found,https://www.flashscore.com/football/libya/
Asswehly,Libya,https://www.flashscore.com/team/asswehly/,"Direct match (low, generated)",https://www.flashscore.com/football/libya/
AFC Dubai,Brazil,Not Found,No Brazil teams scraped,https://www.flashscore.com/football/brazil/
Damac FC,Brazil,Not Found,No Brazil teams scraped,https://www.flashscore.com/football/brazil/
USM El Harrach,Algeria,https://www.flashscore.com/team/usm-el-harrach/,"Direct match (low, generated)",https://www.flashscore.com/football/algeria/
CR Belouizdad,Algeria,https://www.flashscore.com/team/cr-belouizdad/,"Direct match (low, generated)",https://www.flashscore.com/football/algeria/
MC Algiers,Algeria,https://www.flashscore.com/team/mc-algiers/,"Direct match (low, generated)",https://www.flashscore.com/football/algeria/
USM Alger,Algeria,https://www.flashscore.com/team/usm-alger/,"Direct match (low, generated)",https://www.flashscore.com/football/algeria/
Abia Warriors,Nigeria,https://www.flashscore.com/team/abia-warriors/,"Direct match (low, generated)",https://www.flashscore.com/football/nigeria/
Al-Jandal,Saudi Arabia,Not Found,No Saudi Arabia teams scraped,https://www.flashscore.com/football/saudi-arabia/
Ahly SC,Egypt,Not Found,No Egypt teams scraped,https://www.flashscore.com/football/egypt/
Kuwait SC,Kuwait,Not Found,No Kuwait teams scraped,https://www.flashscore.com/football/kuwait/
Al-Quwa Al-Jaw.,Iraq,Not Found,No Iraq teams scraped,https://www.flashscore.com/football/iraq/
