Team Name,Country,Flashscore URL,Status,Country URL
CR Belouizdad,Tunisia,Not Found,No Tunisia teams scraped,https://www.flashscore.com/football/tunisia/
Esperance,Tunisia,Not Found,No Tunisia teams scraped,https://www.flashscore.com/football/tunisia/
Cebu,Tunisia,Not Found,No Tunisia teams scraped,https://www.flashscore.com/football/tunisia/
Al-Quwa Al-Jaw.,Tunisia,Not Found,No Tunisia teams scraped,https://www.flashscore.com/football/tunisia/
CA Bizertin,Tunisia,Not Found,No Tunisia teams scraped,https://www.flashscore.com/football/tunisia/
Rogba Tataouine,Tunisia,Not Found,No Tunisia teams scraped,https://www.flashscore.com/football/tunisia/
EO Sidi Bouzid,Tunisia,Not Found,No Tunisia teams scraped,https://www.flashscore.com/football/tunisia/
Al Tersana,Tunisia,Not Found,No Tunisia teams scraped,https://www.flashscore.com/football/tunisia/
US Ben Guerdane,Tunisia,Not Found,No Tunisia teams scraped,https://www.flashscore.com/football/tunisia/
Al-Ittihad,Tunisia,Not Found,No Tunisia teams scraped,https://www.flashscore.com/football/tunisia/
Al-Watan,Tunisia,Not Found,No Tunisia teams scraped,https://www.flashscore.com/football/tunisia/
Ahly SC,Tunisia,Not Found,No Tunisia teams scraped,https://www.flashscore.com/football/tunisia/
ES Sahel,Tunisia,Not Found,No Tunisia teams scraped,https://www.flashscore.com/football/tunisia/
US Monastir,Tunisia,Not Found,No Tunisia teams scraped,https://www.flashscore.com/football/tunisia/
JS Kairouan,Tunisia,Not Found,No Tunisia teams scraped,https://www.flashscore.com/football/tunisia/
AFC Dubai,Tunisia,Not Found,No Tunisia teams scraped,https://www.flashscore.com/football/tunisia/
AS Soliman,Tunisia,Not Found,No Tunisia teams scraped,https://www.flashscore.com/football/tunisia/
Kuwait SC,Tunisia,Not Found,No Tunisia teams scraped,https://www.flashscore.com/football/tunisia/
Al-Ahly,Cote d'Ivoire,Not Found,No Cote d'Ivoire teams scraped,https://www.flashscore.com/football/cote-d-ivoire/
Asswehly,Cote d'Ivoire,Not Found,No Cote d'Ivoire teams scraped,https://www.flashscore.com/football/cote-d-ivoire/
CR Belouizdad,Algeria,Not Found,No Algeria teams scraped,https://www.flashscore.com/football/algeria/
USM El Harrach,Algeria,Not Found,No Algeria teams scraped,https://www.flashscore.com/football/algeria/
Esperance,Algeria,Not Found,No Algeria teams scraped,https://www.flashscore.com/football/algeria/
USM Alger,Algeria,Not Found,No Algeria teams scraped,https://www.flashscore.com/football/algeria/
MC Algiers,Algeria,Not Found,No Algeria teams scraped,https://www.flashscore.com/football/algeria/
Damac FC,Algeria,Not Found,No Algeria teams scraped,https://www.flashscore.com/football/algeria/
Abia Warriors,Nigeria,Not Found,No Nigeria teams scraped,https://www.flashscore.com/football/nigeria/
Al-Jandal,Ghana,Not Found,No Ghana teams scraped,https://www.flashscore.com/football/ghana/
Al-Ahli,Libya,Not Found,No Libya teams scraped,https://www.flashscore.com/football/libya/
