Team Name,Team Link,Team Logo
Zarzis,https://www.flashscore.com/team/zarzis/0AqfZLXt/,https://static.flashscore.com/res/image/data/CrYMZZ7k-Eua5PHRE.png
Stade Tunisien,https://www.flashscore.com/team/stade-tunisien/IVPZsB67/,https://static.flashscore.com/res/image/data/O4tnXRT0-GOX2DTa1.png
Club Africain,https://www.flashscore.com/team/club-africain/C2lt6Igm/,https://static.flashscore.com/res/image/data/vRAKqa7k-bob4M53H.png
Esperance Tunis,https://www.flashscore.com/team/esperance-tunis/bVINpDMl/,https://static.flashscore.com/res/image/data/MwJ5a4AN-4U9lphOS.png
Metlaoui,https://www.flashscore.com/team/metlaoui/tIVvg8yF/,https://static.flashscore.com/res/image/data/hjsxnmgT-bNN2piW2.png
Monastir,https://www.flashscore.com/team/monastir/zixQ6fq8/,https://static.flashscore.com/res/image/data/2qGoLPU0-OlRcOd3K.png
JS Kairouan,https://www.flashscore.com/team/js-kairouan/rVdSw2PP/,https://static.flashscore.com/res/image/data/8Ah2sSPq-beBXmIt1.png
CS Sfaxien,https://www.flashscore.com/team/cs-sfaxien/2BJIkFqL/,https://static.flashscore.com/res/image/data/IJO1iuWH-8QjOsK1t.png
JS Omrane,https://www.flashscore.com/team/jeunesse-sportive/84XWfU62/,https://static.flashscore.com/res/image/data/hIOWhuXH-n1oCCiBU.png
CA Bizertin,https://www.flashscore.com/team/ca-bizertin/foGAiyF8/,https://static.flashscore.com/res/image/data/xbeeIiT0-bwMs7FAf.png
AS Marsa,https://www.flashscore.com/team/as-marsa/GfH6hHa2/,https://static.flashscore.com/res/image/data/fZvCLvAN-zgzLiH7t.png
Ben Guerdane,https://www.flashscore.com/team/ben-guerdane/4MWKcfBn/,https://static.flashscore.com/res/image/data/xriYShU0-bNN2piW2.png
AS Gabes,https://www.flashscore.com/team/as-gabes/UNMR8gOn/,https://static.flashscore.com/res/image/data/lfQj8Ole-EgOnwaeL.png
Etoile Sahel,https://www.flashscore.com/team/etoile-sahel/QyX50QIH/,https://static.flashscore.com/res/image/data/bqiV7K7k-8flds5zI.png
Soliman,https://www.flashscore.com/team/soliman/n5jl3GmP/,https://static.flashscore.com/res/image/data/EN7rETRq-fZGJDt4L.png
Olympique Beja,https://www.flashscore.com/team/olympique-beja/Kp7Wrii1/,https://static.flashscore.com/res/image/data/fHCZTY7k-lhdmzxg9.png
